result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,is_cheaper,difference,last_week_price_usd,last_week_captured_timestamp,is_cheaper_last_week,difference_last_week
Code Vein Deluxe Edition,2019,3.33,03/25/23 08:07:11,True,-0.040000000000000036,4.58,03/21/23 07:08:33,True,-1.25
Code Vein,2019,4.02,03/25/23 08:07:11,True,-0.040000000000000036,4.64,03/21/23 07:08:33,True,-0.6200000000000001
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,10.43,03/25/23 08:07:12,False,,12.22,03/21/23 07:08:33,True,-1.790000000000001
Assassins Creed Valhalla Complete Edition,2019,26.89,03/25/23 08:07:13,True,-0.07000000000000028,27.51,03/21/23 07:08:34,True,-0.620000000000001
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.68,03/25/23 08:07:13,False,,6.66,03/21/23 07:08:34,False,0.019999999999999574
Assassins Creed Valhalla Ragnarok Edition,2022,18.41,03/25/23 08:07:13,True,-0.26000000000000156,14.26,03/21/23 07:08:34,False,4.15
Assassins Creed Valhalla Deluxe Edition,2022,11.94,03/25/23 08:07:13,True,-0.15000000000000036,11.95,03/21/23 07:08:34,True,-0.009999999999999787
Assassins Creed Valhalla Ultimate Edition,2021,46.96,03/25/23 08:07:13,True,-0.5600000000000023,46.81,03/21/23 07:08:34,False,0.14999999999999858
Assassins Creed Valhalla Gold Edition,2020,79.1,03/25/23 08:07:13,False,0.22999999999998977,77.62,03/21/23 07:08:34,False,1.4799999999999898
Assassins Creed Valhalla The Way Of The Berserker,2020,1.72,03/25/23 08:07:13,False,,1.72,03/21/23 07:08:34,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,12.52,03/25/23 08:07:18,False,,20.77,03/21/23 07:08:40,True,-8.25
Azure Striker Gunvolt 3,2020,3.25,03/25/23 08:07:14,True,-0.040000000000000036,3.25,03/21/23 07:08:35,False,0.0
Azure Striker Gunvolt 2,2022,2.13,03/25/23 08:07:14,True,-0.03000000000000025,2.13,03/21/23 07:08:35,False,0.0
Azure Striker Gunvolt,2016,7.13,03/25/23 08:07:14,True,-0.03000000000000025,2.26,03/21/23 07:08:35,False,4.87
Batman Arkham Collection,2014,8.39,03/25/23 08:07:15,False,,9.03,03/21/23 07:08:36,True,-0.6399999999999988
Bayonetta Vanquish 10Th Anniversary Bundle,2018,6.45,03/25/23 08:07:16,False,,7.61,03/21/23 07:08:38,True,-1.1600000000000001
Bayonetta,2020,5.08,03/25/23 08:07:16,True,-0.05999999999999961,5.06,03/21/23 07:08:38,False,0.020000000000000462
Forza Horizon 5 Hot Wheels,2009,12.63,03/25/23 08:07:16,False,,12.77,03/21/23 07:08:38,True,-0.1399999999999988
Forza Horizon 5 Expansions Bundle,2022,31.06,03/25/23 08:07:16,False,,26.01,03/21/23 07:08:38,False,5.049999999999997
Forza Horizon 5,2022,4.6,03/25/23 08:07:16,True,-0.0600000000000005,4.59,03/21/23 07:08:38,False,0.009999999999999787
Forza Horizon 5 Deluxe Edition,2021,37.58,03/25/23 08:07:16,True,-2.5900000000000034,39.56,03/21/23 07:08:38,True,-1.980000000000004
Forza Horizon 5 Premium Edition,2021,20.91,03/25/23 08:07:16,True,-0.28000000000000114,21.15,03/21/23 07:08:38,True,-0.23999999999999844
Gunvolt Chronicles Luminous Avenger Ix 2,2021,14.47,03/25/23 08:07:17,True,-0.17999999999999972,14.47,03/21/23 07:08:39,False,0.0
Gunvolt Chronicles Luminous Avenger Ix,2022,8.14,03/25/23 08:07:17,True,-0.1399999999999988,,,False,
Immortals Fenyx Rising Gold Edition,2021,8.34,03/25/23 08:07:18,False,,15.81,03/21/23 07:08:40,True,-7.470000000000001
Lost Judgment,2020,15.19,03/25/23 08:07:19,True,-0.17999999999999972,15.14,03/21/23 07:08:43,False,0.049999999999998934
Lost Judgment Digital Ultimate Edition,2021,29.62,03/25/23 08:07:19,True,-0.39000000000000057,29.53,03/21/23 07:08:43,False,0.08999999999999986
Lost Judgment Digital Deluxe Edition,2021,15.82,03/25/23 08:07:19,True,-0.21999999999999886,15.84,03/21/23 07:08:43,True,-0.019999999999999574
Judgment,2021,8.59,03/25/23 08:07:19,True,-0.08999999999999986,7.7,03/21/23 07:08:43,False,0.8899999999999997
Gears Of War Judgment,2018,10.21,03/25/23 08:07:19,True,-0.0799999999999983,10.17,03/21/23 07:08:43,False,0.040000000000000924
Ni No Kuni Wrath Of The White Witch Remastered,2013,20.98,03/25/23 08:07:20,False,,28.17,03/21/23 07:08:43,True,-7.190000000000001
Nier Replicant Ver 1 22474487139,2019,15.25,03/25/23 08:07:21,False,,15.25,03/21/23 07:08:44,False,0.0
Nier Replicant,2021,31.71,03/25/23 08:07:21,False,0.46000000000000085,32.64,03/21/23 07:08:44,True,-0.9299999999999997
Nierautomata Become As Gods Edition,2021,11.52,03/25/23 08:07:22,False,,7.55,03/21/23 07:08:46,False,3.9699999999999998
Octopath Traveler,2021,13.56,03/25/23 08:07:24,True,-6.01,19.29,03/21/23 07:08:47,True,-5.729999999999999
Ori And The Will Of The Wisps,2018,6.76,03/25/23 08:07:24,True,-0.08000000000000007,5.82,03/21/23 07:08:48,False,0.9399999999999995
Overcooked 2 Gourmet Edition,2020,5.93,03/25/23 08:07:25,True,-0.0600000000000005,5.91,03/21/23 07:08:49,False,0.019999999999999574
