result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,3.33,03/25/23 08:07:11,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.37,03/24/23 20:04:58,True,-0.040000000000000036
Code Vein,2019,4.02,03/25/23 08:07:11,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.06,03/24/23 20:04:58,True,-0.040000000000000036
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,10.43,03/25/23 08:07:12,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,,,False,
Assassins Creed Valhalla Complete Edition,2019,26.89,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,26.96,03/24/23 20:05:01,True,-0.07000000000000028
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.68,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,,,False,
Assassins Creed Valhalla Ragnarok Edition,2022,18.41,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,18.67,03/24/23 20:05:01,True,-0.26000000000000156
Assassins Creed Valhalla Deluxe Edition,2022,11.94,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.09,03/24/23 20:05:01,True,-0.15000000000000036
Assassins Creed Valhalla Ultimate Edition,2021,46.96,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.52,03/24/23 20:05:01,True,-0.5600000000000023
Assassins Creed Valhalla Gold Edition,2020,79.1,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,78.87,03/24/23 20:05:01,False,0.22999999999998977
Assassins Creed Valhalla The Way Of The Berserker,2020,1.72,03/25/23 08:07:13,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,,,False,
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,12.52,03/25/23 08:07:18,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,,,False,
Azure Striker Gunvolt 3,2020,3.25,03/25/23 08:07:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.29,03/24/23 20:05:02,True,-0.040000000000000036
Azure Striker Gunvolt 2,2022,2.13,03/25/23 08:07:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.16,03/24/23 20:05:02,True,-0.03000000000000025
Azure Striker Gunvolt,2016,7.13,03/25/23 08:07:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,7.16,03/24/23 20:05:02,True,-0.03000000000000025
Batman Arkham Collection,2014,8.39,03/25/23 08:07:15,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,,,False,
