result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp
Code Vein Deluxe Edition,2019,8.06,10/18/22 16:22:06
Code Vein,2019,3.31,10/18/22 16:22:06
Dragon Ball Z Kakarot,2020,5.54,10/18/22 16:22:08
Dragon Ball Z Kakarot Ultimate Edition,2020,20.96,10/18/22 16:22:08
Dragon Ball Z Kakarot Deluxe Edition,2020,13.72,10/18/22 16:22:08
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.35,10/18/22 16:22:10
Assassins Creed Valhalla Complete Edition,2022,36.19,10/18/22 16:22:12
Assassins Creed Valhalla Dawn Of Ragnarok,2022,15.92,10/18/22 16:22:12
Assassins Creed Valhalla Ragnarok Edition,2022,18.81,10/18/22 16:22:12
Assassins Creed Valhalla Deluxe Edition,2021,15.25,10/18/22 16:22:12
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,17.16,10/18/22 16:22:12
Assassins Creed Valhalla,2020,10.01,10/18/22 16:22:12
Assassins Creed Valhalla Ultimate Edition,2020,42.91,10/18/22 16:22:12
Assassins Creed Valhalla Gold Edition,2020,40.30,10/18/22 16:22:12
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,19.85,10/18/22 16:22:12
Azure Striker Gunvolt 3,2022,5.24,10/18/22 16:22:14
Azure Striker Gunvolt 2,2016,2.97,10/18/22 16:22:14
Azure Striker Gunvolt,2014,2.84,10/18/22 16:22:14
Batman Arkham Collection,2018,8.44,10/18/22 16:22:15
Bayonetta Vanquish 10Th Anniversary Bundle,2020,9.62,10/18/22 16:22:17
Bayonetta,2009,6.71,10/18/22 16:22:17
Forza Horizon 5 Hot Wheels,2022,8.18,10/18/22 16:22:18
Forza Horizon 5,2021,22.11,10/18/22 16:22:18
Forza Horizon 5 Deluxe Edition,2021,26.66,10/18/22 16:22:18
Forza Horizon 5 Premium Edition,2021,27.42,10/18/22 16:22:18
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.66,10/18/22 16:22:20
Gunvolt Chronicles Luminous Avenger Ix,2019,7.61,10/18/22 16:22:20
Immortals Fenyx Rising Gold Edition,2020,11.33,10/18/22 16:22:22
Gods Monsters,2020,6.69,10/18/22 16:22:22
Lost Judgment,2021,18.51,10/18/22 16:22:24
Lost Judgment Digital Deluxe Edition,2021,24.50,10/18/22 16:22:24
Lost Judgment Digital Ultimate Edition,2021,56.04,10/18/22 16:22:24
Judgment,2018,7.04,10/18/22 16:22:24
Gears Of War Juxxxxxx(dement),2013,5.21,10/18/22 16:22:24
Pathfinder Wrath Of The Righteous The Treasure Of The Midnight Isles,2022,4.96,10/18/22 16:22:25
Pathfinder Wrath Of The Righteous Through The Ashes,2022,4.97,10/18/22 16:22:25
Pathfinder Wrath Of The Righteous,2021,18.12,10/18/22 16:22:25
Oddworld Strangers Wrath Hd,2011,4.14,10/18/22 16:22:25
Oddworld Strangers Wrath,2005,12.45,10/18/22 16:22:25
Pathfinder Wrath Of The Righteous Inevitable Excess,,4.96,10/18/22 16:22:25
White Shadows,2021,6.11,10/18/22 16:22:25
White Noise 2 2,2017,2.76,10/18/22 16:22:25
White Day A Labyrinth Named School,2015,5.04,10/18/22 16:22:25
White Night,2015,5.07,10/18/22 16:22:25
Little Witch In The Woods,2022,6.67,10/18/22 16:22:25
Destiny 2 The Witch Queen,2022,12.67,10/18/22 16:22:25
Destiny 2 The Witch Queen Deluxe Edition,2022,23.71,10/18/22 16:22:25
Destiny 2 The Witch Queen Deluxe Bungie 30Th Anniversary Bundle,2022,29.98,10/18/22 16:22:25
Trigger Witch,2021,4.59,10/18/22 16:22:25
Blair Witch,2019,3.33,10/18/22 16:22:25
The Witchs House Mv,2018,3.05,10/18/22 16:22:25
Dead By Daylight Hour Of The Witch Chapter,,0.85,10/18/22 16:22:25
Shatter Remastered Deluxe,2022,4.15,10/18/22 16:22:25
Shred Remastered,2022,5.30,10/18/22 16:22:25
Crypt Of The Serpent King Remastered 4K Edition,2022,1.08,10/18/22 16:22:25
Sticktype Remastered,2022,2.79,10/18/22 16:22:25
Life Is Strange Remastered Collection,2022,19.84,10/18/22 16:22:25
Life Is Strange Remastered,2022,33.36,10/18/22 16:22:25
Elasto Mania Remastered,2022,4.55,10/18/22 16:22:25
Draculas Legacy Remastered,2021,6.30,10/18/22 16:22:25
Alan Wake Remastered,2021,5.23,10/18/22 16:22:25
Crysis Remastered Trilogy,2021,12.25,10/18/22 16:22:25
Violett Remastered,2021,2.19,10/18/22 16:22:25
Shadow Man Remastered,2021,2.18,10/18/22 16:22:25
3D Billiards Pool Snooker Remastered,2021,6.25,10/18/22 16:22:25
Beyond Enemy Lines Remastered Edition,2020,7.93,10/18/22 16:22:25
Need For Speed Hot Pursuit Remastered,2020,4.27,10/18/22 16:22:25
Crysis Remastered,2020,3.36,10/18/22 16:22:25
Saints Row The Third Remastered,2020,6.37,10/18/22 16:22:25
Call Of Duty Modern Warfare 2 Campaign Remastered,2020,13.27,10/18/22 16:22:25
Wasteland Remastered,2020,1.79,10/18/22 16:22:25
Reed Remastered,2020,2.30,10/18/22 16:22:25
The Yakuza Remastered Collection,2020,8.41,10/18/22 16:22:25
Ghostbusters The Video Game Remastered,2019,5.57,10/18/22 16:22:25
Final Fantasy Viii Remastered,2019,6.62,10/18/22 16:22:25
Yakuza 5 Remastered,2019,6.87,10/18/22 16:22:25
Sniper Elite V2 Remastered,2019,3.67,10/18/22 16:22:25
Assassins Creed Iii Remastered,2019,4.19,10/18/22 16:22:25
Yakuza 4 Remastered,2019,6.94,10/18/22 16:22:25
Spyro Crash Remastered Game Bundle,2018,39.21,10/18/22 16:22:25
Yakuza 3 Remastered,2018,6.94,10/18/22 16:22:25
Forsaken Remastered,2018,18.03,10/18/22 16:22:25
Lumines Remastered,2018,7.56,10/18/22 16:22:25
Dark Souls Remastered,2018,7.00,10/18/22 16:22:25
Assassins Creed Rogue Remastered,2018,3.52,10/18/22 16:22:25
Burnout Paradise Remastered,2018,3.97,10/18/22 16:22:25
The Raven Remastered,2018,1.86,10/18/22 16:22:25
Call Of Duty Modern Warfare Remastered,2016,4.23,10/18/22 16:22:25
Rocksmith 2014 Edition Remastered,2016,9.23,10/18/22 16:22:25
Bioshock Remastered,2016,3.50,10/18/22 16:22:25
Bioshock 2 Remastered,2016,3.30,10/18/22 16:22:25
Castle Crashers Remastered,2015,3.80,10/18/22 16:22:25
Black Desert Online,2015,16.81,10/18/22 16:22:25
Crysis 3 Remastered,,3.31,10/18/22 16:22:25
Crysis 2 Remastered,,2.19,10/18/22 16:22:25
Nier Replicant Ver 1 22474487139,2021,17.05,10/18/22 16:22:26
Nier Replicant,2010,51.14,10/18/22 16:22:26
Nierautomata Become As Gods Edition,2018,11.67,10/18/22 16:22:28
No More Heroes Iii,2021,33.54,10/18/22 16:22:29
Octopath Traveler,2018,16.36,10/18/22 16:22:30
Ori And The Will Of The Wisps,2020,3.05,10/18/22 16:22:32
Overcooked 2 Gourmet Edition,2020,1.12,10/18/22 16:22:33
Overcooked 2 Night Of The Hangry Horde,2019,7.26,10/18/22 16:22:33
Overcooked 2 Campfire Cook Off,2019,1.87,10/18/22 16:22:33
Overcooked 2 2,2018,0.53,10/18/22 16:22:33
Overcooked 2 Carnival Of Chaos,2018,1.87,10/18/22 16:22:33
Overcooked Overcooked 2,,2.09,10/18/22 16:22:33
Persona 5 Royal,2019,30.52,10/18/22 16:22:35
Scarlet Nexus,2021,1.90,10/18/22 16:22:36
Scarlet Nexus Ultimate Edition,2021,19.62,10/18/22 16:22:36
Scarlet Nexus Deluxe Edition,2021,12.63,10/18/22 16:22:36
Sd Gundam Battle Alliance,2022,29.34,10/18/22 16:22:37
Soul Hackers 2,2022,34.35,10/18/22 16:22:39
Tales Of Arise Ultimate Edition,2021,46.11,10/18/22 16:22:41
Tales Of Arise,2021,15.76,10/18/22 16:22:41
Tales Of Arise Deluxe Edition,2021,61.15,10/18/22 16:22:41
Like A Dragon Ishin,2023,32.43,10/18/22 16:22:42
Yakuza Like A Dragon Legendary Hero Edition,2020,44.93,10/18/22 16:22:42
Yakuza Like A Dragon,2020,12.92,10/18/22 16:22:42
Yakuza Like A Dragon Day One Edition,2020,37.34,10/18/22 16:22:42
Yakuza Like A Dragon Hero Edition,2020,15.41,10/18/22 16:22:42
Yakuza Kiwami 2,2017,3.58,10/18/22 16:22:42
Yakuza Kiwami,2016,1.18,10/18/22 16:22:42
Yakuza 6 The Song Of Life,2016,3.28,10/18/22 16:22:42
Yakuza 0,2015,1.23,10/18/22 16:22:42
Devil May Cry 5 Special Edition,2020,11.68,10/18/22 16:22:43
Red Dead Redemption 2,2018,7.81,10/18/22 16:22:45
Red Dead Redemption 2 Ultimate Edition,2018,18.21,10/18/22 16:22:45
Red Dead Redemption 2 Special Edition,,29.39,10/18/22 16:22:45
