result_list,release_yr,price_usd_list,captured_timestamp_list
Code Vein Deluxe Edition,2019,7.99,10/17/22 16:57:32
Code Vein,2019,3.28,10/17/22 16:57:32
Dragon Ball Z Kakarot,2020,5.49,10/17/22 16:57:34
Dragon Ball Z Kakarot Ultimate Edition,2020,20.71,10/17/22 16:57:34
Dragon Ball Z Kakarot Deluxe Edition,2020,13.61,10/17/22 16:57:34
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.21,10/17/22 16:57:35
Assassins Creed Valhalla Complete Edition,2022,35.90,10/17/22 16:57:37
Assassins Creed Valhalla Dawn Of Ragnarok,2022,15.79,10/17/22 16:57:37
Assassins Creed Valhalla Ragnarok Edition,2022,18.68,10/17/22 16:57:37
Assassins Creed Valhalla Deluxe Edition,2021,15.12,10/17/22 16:57:37
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,17.01,10/17/22 16:57:37
Assassins Creed Valhalla,2020,9.93,10/17/22 16:57:37
Assassins Creed Valhalla Ultimate Edition,2020,42.56,10/17/22 16:57:37
Assassins Creed Valhalla Gold Edition,2020,39.97,10/17/22 16:57:37
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,19.68,10/17/22 16:57:37
Azure Striker Gunvolt 3,2022,5.19,10/17/22 16:57:39
Azure Striker Gunvolt 2,2016,2.94,10/17/22 16:57:39
Azure Striker Gunvolt,2014,2.82,10/17/22 16:57:39
Batman Arkham Collection,2018,8.43,10/17/22 16:57:41
Bayonetta Vanquish 10Th Anniversary Bundle,2020,10.17,10/17/22 16:57:42
Bayonetta,2009,7.13,10/17/22 16:57:42
Forza Horizon 5 Hot Wheels,2022,8.11,10/17/22 16:57:44
Forza Horizon 5,2021,21.93,10/17/22 16:57:44
Forza Horizon 5 Deluxe Edition,2021,26.44,10/17/22 16:57:44
Forza Horizon 5 Premium Edition,2021,27.20,10/17/22 16:57:44
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.62,10/17/22 16:57:45
Gunvolt Chronicles Luminous Avenger Ix,2019,7.55,10/17/22 16:57:45
Immortals Fenyx Rising Gold Edition,2020,11.15,10/17/22 16:57:47
Gods Monsters,2020,6.63,10/17/22 16:57:47
Lost Judgment,2021,18.35,10/17/22 16:57:49
Lost Judgment Digital Deluxe Edition,2021,24.30,10/17/22 16:57:49
Lost Judgment Digital Ultimate Edition,2021,55.58,10/17/22 16:57:49
Judgment,2018,7.00,10/17/22 16:57:49
Gears Of War Juxxxxxx(dement),2013,5.21,10/17/22 16:57:49
Pathfinder Wrath Of The Righteous The Treasure Of The Midnight Isles,2022,4.92,10/17/22 16:57:51
Pathfinder Wrath Of The Righteous Through The Ashes,2022,4.93,10/17/22 16:57:51
Pathfinder Wrath Of The Righteous,2021,17.97,10/17/22 16:57:51
Oddworld Strangers Wrath Hd,2011,4.24,10/17/22 16:57:51
Oddworld Strangers Wrath,2005,12.46,10/17/22 16:57:51
Pathfinder Wrath Of The Righteous Inevitable Excess,,4.92,10/17/22 16:57:51
White Shadows,2021,6.06,10/17/22 16:57:51
White Noise 2 2,2017,2.74,10/17/22 16:57:51
White Day A Labyrinth Named School,2015,5.01,10/17/22 16:57:51
White Night,2015,6.22,10/17/22 16:57:51
Little Witch In The Woods,2022,6.61,10/17/22 16:57:51
Destiny 2 The Witch Queen,2022,12.57,10/17/22 16:57:51
