result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,8.07,10/18/22 22:34:26,8.07,10/18/22 21:55:06,False,0.0
Code Vein,2019,3.32,10/18/22 22:34:26,3.32,10/18/22 21:55:06,False,0.0
Dragon Ball Z Kakarot,2020,5.55,10/18/22 22:34:28,5.55,10/18/22 21:55:08,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,21.0,10/18/22 22:34:28,21.0,10/18/22 21:55:08,False,0.0
Dragon Ball Z Kakarot Deluxe Edition,2020,13.75,10/18/22 22:34:28,13.75,10/18/22 21:55:08,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.38,10/18/22 22:34:29,17.38,10/18/22 21:55:10,False,0.0
Assassins Creed Valhalla Complete Edition,2022,36.26,10/18/22 22:34:32,36.26,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Dawn Of Ragnarok,2022,15.95,10/18/22 22:34:32,15.95,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Ragnarok Edition,2022,18.85,10/18/22 22:34:32,18.85,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Deluxe Edition,2021,15.28,10/18/22 22:34:32,15.28,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,17.19,10/18/22 22:34:32,17.19,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla,2020,10.03,10/18/22 22:34:32,10.03,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Ultimate Edition,2020,42.98,10/18/22 22:34:32,42.98,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Gold Edition,2020,40.38,10/18/22 22:34:32,40.38,10/18/22 21:55:12,False,0.0
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,19.89,10/18/22 22:34:32,19.89,10/18/22 21:55:12,False,0.0
Azure Striker Gunvolt 3,2022,5.25,10/18/22 22:34:33,5.25,10/18/22 21:55:14,False,0.0
Azure Striker Gunvolt 2,2016,2.97,10/18/22 22:34:33,2.97,10/18/22 21:55:14,False,0.0
Azure Striker Gunvolt,2014,2.85,10/18/22 22:34:33,2.85,10/18/22 21:55:14,False,0.0
Batman Arkham Collection,2018,8.45,10/18/22 22:34:35,8.45,10/18/22 21:55:15,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,2020,9.64,10/18/22 22:34:37,9.64,10/18/22 21:55:16,False,0.0
Bayonetta,2009,6.72,10/18/22 22:34:37,6.72,10/18/22 21:55:16,False,0.0
Forza Horizon 5 Hot Wheels,2022,8.2,10/18/22 22:34:38,8.2,10/18/22 21:55:18,False,0.0
Forza Horizon 5,2021,22.16,10/18/22 22:34:38,22.16,10/18/22 21:55:18,False,0.0
Forza Horizon 5 Deluxe Edition,2021,26.7,10/18/22 22:34:38,26.7,10/18/22 21:55:18,False,0.0
Forza Horizon 5 Premium Edition,2021,27.48,10/18/22 22:34:38,27.48,10/18/22 21:55:18,False,0.0
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.68,10/18/22 22:34:40,6.68,10/18/22 21:55:19,False,0.0
Gunvolt Chronicles Luminous Avenger Ix,2019,7.62,10/18/22 22:34:40,7.62,10/18/22 21:55:19,False,0.0
Immortals Fenyx Rising Gold Edition,2020,11.35,10/18/22 22:34:41,11.35,10/18/22 21:55:21,False,0.0
Gods Monsters,2020,6.7,10/18/22 22:34:41,6.7,10/18/22 21:55:21,False,0.0
Lost Judgment,2021,18.54,10/18/22 22:34:43,18.54,10/18/22 21:55:23,False,0.0
