result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,8.11,02/07/23 16:00:08,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,8.1,02/07/23 07:47:29,False,0.009999999999999787
Code Vein,2019,4.43,02/07/23 16:00:08,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,4.43,02/07/23 07:47:29,False,0.0
Dragon Ball Z Kakarot A New Power Awakens Set,2020,9.98,02/07/23 16:00:10,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,9.9,02/07/23 07:47:30,False,0.08000000000000007
Dragon Ball Z Kakarot,2020,11.58,02/07/23 16:00:10,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,11.57,02/07/23 07:47:30,False,0.009999999999999787
Dragon Ball Z Kakarot Ultimate Edition,2020,51.0,02/07/23 16:00:10,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,50.95,02/07/23 07:47:30,False,0.04999999999999716
Dragon Ball Z Kakarot Deluxe Edition,2020,24.47,02/07/23 16:00:10,https://cdkeyprices.com/search?sk=DRAGON+BALL+Z:+KAKAROT&categories=&platforms=all_xbox&types=game&filter=1,24.45,02/07/23 07:47:30,False,0.019999999999999574
Assassins Creed Valhalla Dawn Of Ragnarok,,6.77,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.76,02/07/23 07:47:31,False,0.009999999999999787
Assassins Creed Valhalla Ragnarok Edition,2022,15.62,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,15.88,02/07/23 07:47:31,True,-0.26000000000000156
Assassins Creed Valhalla Complete Edition,2022,27.76,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,27.73,02/07/23 07:47:31,False,0.030000000000001137
Assassins Creed Valhalla Deluxe Edition,2022,13.17,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.16,02/07/23 07:47:31,False,0.009999999999999787
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,13.54,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,13.53,02/07/23 07:47:31,False,0.009999999999999787
Assassins Creed Valhalla Watch Dogs Legion Bundle,2021,22.05,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,22.04,02/07/23 07:47:31,False,0.010000000000001563
Assassins Creed Valhalla,2020,8.32,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,8.18,02/07/23 07:47:31,False,0.14000000000000057
Assassins Creed Valhalla The Way Of The Berserker,2020,1.93,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.93,02/07/23 07:47:31,False,0.0
Assassins Creed Valhalla Gold Edition,2020,78.26,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,78.54,02/07/23 07:47:31,True,-0.28000000000000114
Assassins Creed Valhalla Ultimate Edition,2020,46.86,02/07/23 16:00:12,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,46.82,02/07/23 07:47:31,False,0.03999999999999915
Azure Striker Gunvolt 3,,3.88,02/07/23 16:00:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.89,02/07/23 07:47:32,True,-0.010000000000000231
Azure Striker Gunvolt 2,2022,3.59,02/07/23 16:00:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.61,02/07/23 07:47:32,True,-0.020000000000000018
Azure Striker Gunvolt,2016,2.59,02/07/23 16:00:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.59,02/07/23 07:47:32,False,0.0
Batman Arkham Collection,2018,8.81,02/07/23 16:00:16,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,8.81,02/07/23 07:47:34,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,,9.11,02/07/23 16:00:17,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,9.11,02/07/23 07:47:36,False,0.0
Bayonetta,,5.16,02/07/23 16:00:17,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,5.15,02/07/23 07:47:36,False,0.009999999999999787
Forza Horizon 5 Hot Wheels,,13.04,02/07/23 16:00:18,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,12.9,02/07/23 07:47:37,False,0.1399999999999988
Forza Horizon 5,2020,16.42,02/07/23 16:00:18,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,16.41,02/07/23 07:47:37,False,0.010000000000001563
Forza Horizon 5 Deluxe Edition,2009,41.54,02/07/23 16:00:18,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,41.51,02/07/23 07:47:37,False,0.030000000000001137
Gunvolt Chronicles Luminous Avenger Ix 2,2014,14.71,02/07/23 16:00:14,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,14.71,02/07/23 07:47:32,False,0.0
Immortals Fenyx Rising Gold Edition,,9.09,02/07/23 16:00:21,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,9.09,02/07/23 07:47:39,False,0.0
Lost Judgment,2011,13.93,02/07/23 16:00:22,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,13.91,02/07/23 07:47:40,False,0.019999999999999574
Lost Judgment Digital Ultimate Edition,2010,18.15,02/07/23 16:00:22,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,18.15,02/07/23 07:47:40,False,0.0
Lost Judgment Digital Deluxe Edition,2006,14.06,02/07/23 16:00:22,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,14.17,02/07/23 07:47:40,True,-0.10999999999999943
Judgment,,9.03,02/07/23 16:00:22,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,9.02,02/07/23 07:47:40,False,0.009999999999999787
Gears Of War Juxxxxxx(dement),2021,10.19,02/07/23 16:00:22,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,10.18,02/07/23 07:47:40,False,0.009999999999999787
Ni No Kuni Wrath Of The White Witch Remastered,2021,28.77,02/07/23 16:00:23,https://cdkeyprices.com/search?sk=Ni+no+Kuni+Wrath+of+the+White+Witch+Remastered&categories=&platforms=all_xbox&types=game&filter=1,28.45,02/07/23 07:47:41,False,0.3200000000000003
Nier Replicant Ver 1 22474487139,2015,15.26,02/07/23 16:00:24,https://cdkeyprices.com/search?sk=NieR+Replicant&categories=&platforms=all_xbox&types=game&filter=1,15.25,02/07/23 07:47:42,False,0.009999999999999787
Nier Replicant,2014,52.4,02/07/23 16:00:24,https://cdkeyprices.com/search?sk=NieR+Replicant&categories=&platforms=all_xbox&types=game&filter=1,52.58,02/07/23 07:47:42,True,-0.17999999999999972
Octopath Traveler,2013,27.04,02/07/23 16:00:27,https://cdkeyprices.com/search?sk=OCTOPATH+TRAVELER&categories=&platforms=all_xbox&types=game&filter=1,22.32,02/07/23 07:47:45,False,4.719999999999999
Ori And The Will Of The Wisps,,8.23,02/07/23 16:00:28,https://cdkeyprices.com/search?sk=Ori+and+the+Will+of+the+Wisps&categories=&platforms=all_xbox&types=game&filter=1,8.23,02/07/23 07:47:47,False,0.0
