result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,3.63,01/18/23 15:21:16,3.63,01/18/23 06:17:55,False,0.0
Code Vein Deluxe Edition,2019,7.32,01/18/23 15:21:16,7.33,01/18/23 06:17:55,True,-0.009999999999999787
Dragon Ball Z Kakarot,2020,7.68,01/18/23 15:21:19,7.69,01/18/23 06:17:57,True,-0.010000000000000675
Dragon Ball Z Kakarot Ultimate Edition,2020,22.76,01/18/23 15:21:19,22.79,01/18/23 06:17:57,True,-0.029999999999997584
Dragon Ball Z Kakarot A New Power Awakens Set,2020,9.68,01/18/23 15:21:19,9.6,01/18/23 06:17:57,False,0.08000000000000007
Dragon Ball Z Kakarot Deluxe Edition,2020,16.13,01/18/23 15:21:19,16.15,01/18/23 06:17:57,True,-0.019999999999999574
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,19.12,01/18/23 15:21:21,19.14,01/18/23 06:18:00,True,-0.019999999999999574
Assassins Creed Valhalla Complete Edition,2022,30.02,01/18/23 15:21:23,30.07,01/18/23 06:18:02,True,-0.05000000000000071
Assassins Creed Valhalla Dawn Of Ragnarok,2022,7.76,01/18/23 15:21:23,7.77,01/18/23 06:18:02,True,-0.009999999999999787
Assassins Creed Valhalla Ragnarok Edition,2022,16.9,01/18/23 15:21:23,16.96,01/18/23 06:18:02,True,-0.060000000000002274
Assassins Creed Valhalla Deluxe Edition,2021,13.59,01/18/23 15:21:23,13.61,01/18/23 06:18:02,True,-0.019999999999999574
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,16.72,01/18/23 15:21:23,16.75,01/18/23 06:18:02,True,-0.030000000000001137
Assassins Creed Valhalla,2020,9.92,01/18/23 15:21:23,10.42,01/18/23 06:18:02,True,-0.5
Assassins Creed Valhalla Gold Edition,2020,38.67,01/18/23 15:21:23,38.47,01/18/23 06:18:02,False,0.20000000000000284
Assassins Creed Valhalla Ultimate Edition,2020,47.07,01/18/23 15:21:23,47.14,01/18/23 06:18:02,True,-0.07000000000000028
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,14.23,01/18/23 15:21:23,14.25,01/18/23 06:18:02,True,-0.019999999999999574
Azure Striker Gunvolt 3,2022,6.14,01/18/23 15:21:25,6.15,01/18/23 06:18:05,True,-0.010000000000000675
Azure Striker Gunvolt 2,2016,5.11,01/18/23 15:21:25,5.12,01/18/23 06:18:05,True,-0.009999999999999787
Azure Striker Gunvolt,2014,4.09,01/18/23 15:21:25,4.09,01/18/23 06:18:05,False,0.0
Batman Arkham Collection,2018,9.06,01/18/23 15:21:27,9.06,01/18/23 06:18:07,False,0.0
Bayonetta Vanquish 10Th Anniversary Bundle,2020,7.29,01/18/23 15:21:29,7.3,01/18/23 06:18:08,True,-0.009999999999999787
Bayonetta,2009,4.32,01/18/23 15:21:29,4.33,01/18/23 06:18:08,True,-0.009999999999999787
Forza Horizon 5 Hot Wheels,2022,11.4,01/18/23 15:21:31,11.3,01/18/23 06:18:10,False,0.09999999999999964
Forza Horizon 5,2021,16.49,01/18/23 15:21:31,16.52,01/18/23 06:18:10,True,-0.030000000000001137
Forza Horizon 5 Deluxe Edition,2021,41.72,01/18/23 15:21:31,41.79,01/18/23 06:18:10,True,-0.07000000000000028
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.14,01/18/23 15:21:33,6.15,01/18/23 06:18:12,True,-0.010000000000000675
Gunvolt Chronicles Luminous Avenger Ix,2019,4.61,01/18/23 15:21:33,4.61,01/18/23 06:18:12,False,0.0
Immortals Fenyx Rising Gold Edition,2020,9.92,01/18/23 15:21:34,9.94,01/18/23 06:18:14,True,-0.019999999999999574
Gods Monsters,2020,7.76,01/18/23 15:21:34,7.77,01/18/23 06:18:14,True,-0.009999999999999787
Lost Judgment,2021,10.23,01/18/23 15:21:35,10.25,01/18/23 06:18:16,True,-0.019999999999999574
Lost Judgment Digital Deluxe Edition,2021,16.29,01/18/23 15:21:35,16.32,01/18/23 06:18:16,True,-0.030000000000001137
Lost Judgment Digital Ultimate Edition,2021,20.61,01/18/23 15:21:35,20.93,01/18/23 06:18:16,True,-0.3200000000000003
Judgment,2018,8.37,01/18/23 15:21:35,8.38,01/18/23 06:18:16,True,-0.010000000000001563
Gears Of War Juxxxxxx(dement),2013,5.21,01/18/23 15:21:35,5.17,01/18/23 06:18:16,False,0.040000000000000036
Ni No Kuni Wrath Of The White Witch Remastered,2019,26.41,01/18/23 15:21:37,26.16,01/18/23 06:18:18,False,0.25
Nier Replicant Ver 1 22474487139,2021,15.33,01/18/23 15:21:38,15.35,01/18/23 06:18:19,True,-0.019999999999999574
Nier Replicant,2010,53.55,01/18/23 15:21:38,53.1,01/18/23 06:18:19,False,0.44999999999999574
Nierautomata Become As Gods Edition,2018,12.81,01/18/23 15:21:40,12.82,01/18/23 06:18:21,True,-0.009999999999999787
No More Heroes Iii,2021,20.33,01/18/23 15:21:41,20.36,01/18/23 06:18:23,True,-0.030000000000001137
Octopath Traveler,2018,18.43,01/18/23 15:21:42,18.46,01/18/23 06:18:25,True,-0.030000000000001137
Ori And The Will Of The Wisps,2020,1.94,01/18/23 15:21:44,2.02,01/18/23 06:18:27,True,-0.08000000000000007
Overcooked 2 Gourmet Edition,2020,4.69,01/18/23 15:21:46,4.65,01/18/23 06:18:28,False,0.040000000000000036
Overcooked 2 Campfire Cook Off,2019,2.05,01/18/23 15:21:46,2.05,01/18/23 06:18:28,False,0.0
