result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein,2019,3.33,10/25/22 07:25:44,3.29,10/21/22 08:11:11,False,0.040000000000000036
Code Vein Deluxe Edition,2019,8.08,10/25/22 07:25:44,8.01,10/21/22 08:11:11,False,0.07000000000000028
Dragon Ball Z Kakarot,2020,4.07,10/25/22 07:25:46,4.54,10/21/22 08:11:13,True,-0.46999999999999975
Dragon Ball Z Kakarot Ultimate Edition,2020,21.01,10/25/22 07:25:46,20.85,10/21/22 08:11:13,False,0.16000000000000014
Dragon Ball Z Kakarot Deluxe Edition,2020,13.78,10/25/22 07:25:46,13.64,10/21/22 08:11:13,False,0.1399999999999988
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,17.42,10/25/22 07:25:48,17.25,10/21/22 08:11:15,False,0.1700000000000017
Assassins Creed Valhalla Complete Edition,2022,36.35,10/25/22 07:25:50,36.0,10/21/22 08:11:17,False,0.3500000000000014
Assassins Creed Valhalla Dawn Of Ragnarok,2022,11.34,10/25/22 07:25:50,10.66,10/21/22 08:11:17,False,0.6799999999999997
Assassins Creed Valhalla Ragnarok Edition,2022,16.18,10/25/22 07:25:50,13.73,10/21/22 08:11:17,False,2.4499999999999993
Assassins Creed Valhalla Deluxe Edition,2021,14.36,10/25/22 07:25:50,14.66,10/21/22 08:11:17,True,-0.3000000000000007
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2021,17.23,10/25/22 07:25:50,17.06,10/21/22 08:11:17,False,0.1700000000000017
Assassins Creed Valhalla,2020,9.37,10/25/22 07:25:50,9.94,10/21/22 08:11:17,True,-0.5700000000000003
Assassins Creed Valhalla Gold Edition,2020,40.47,10/25/22 07:25:50,40.08,10/21/22 08:11:17,False,0.39000000000000057
Assassins Creed Valhalla Ultimate Edition,2020,43.09,10/25/22 07:25:50,42.67,10/21/22 08:11:17,False,0.4200000000000017
Assassins Creed Valhalla Watch Dogs Legion Bundle,2020,18.0,10/25/22 07:25:50,19.74,10/21/22 08:11:17,True,-1.7399999999999984
Azure Striker Gunvolt 3,2022,6.3,10/25/22 07:25:52,5.21,10/21/22 08:11:19,False,1.0899999999999999
Azure Striker Gunvolt 2,2016,2.96,10/25/22 07:25:52,2.92,10/21/22 08:11:19,False,0.040000000000000036
Azure Striker Gunvolt,2014,4.46,10/25/22 07:25:52,2.82,10/21/22 08:11:19,False,1.6400000000000001
Batman Arkham Collection,2018,8.47,10/25/22 07:25:54,8.39,10/21/22 08:11:20,False,0.08000000000000007
Bayonetta Vanquish 10Th Anniversary Bundle,2020,13.34,10/25/22 07:25:56,9.57,10/21/22 08:11:22,False,3.7699999999999996
Bayonetta,2009,6.73,10/25/22 07:25:56,6.66,10/21/22 08:11:22,False,0.07000000000000028
Forza Horizon 5 Hot Wheels,2022,8.07,10/25/22 07:25:58,8.13,10/21/22 08:11:24,True,-0.0600000000000005
Forza Horizon 5,2021,22.2,10/25/22 07:25:58,21.99,10/21/22 08:11:24,False,0.21000000000000085
Forza Horizon 5 Deluxe Edition,2021,26.61,10/25/22 07:25:58,26.51,10/21/22 08:11:24,False,0.09999999999999787
Forza Horizon 5 Premium Edition,2021,27.54,10/25/22 07:25:58,27.27,10/21/22 08:11:24,False,0.2699999999999996
Gunvolt Chronicles Luminous Avenger Ix 2,2022,6.69,10/25/22 07:26:00,6.63,10/21/22 08:11:26,False,0.0600000000000005
Gunvolt Chronicles Luminous Avenger Ix,2019,7.64,10/25/22 07:26:00,7.57,10/21/22 08:11:26,False,0.0699999999999994
Immortals Fenyx Rising Gold Edition,2020,11.24,10/25/22 07:26:02,11.27,10/21/22 08:11:28,True,-0.02999999999999936
Gods Monsters,2020,6.55,10/25/22 07:26:02,6.65,10/21/22 08:11:28,True,-0.10000000000000053
