result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,9.3,01/26/23 06:31:37,9.3,01/25/23 16:47:37,False,0.0
Code Vein,2019,4.37,01/26/23 06:31:37,4.37,01/25/23 16:47:37,False,0.0
Code Shifter,2020,2.1,01/26/23 06:31:37,2.1,01/25/23 16:47:37,False,0.0
Dragon Ball Z Kakarot,2020,9.57,01/26/23 06:31:38,9.57,01/25/23 16:47:39,False,0.0
Dragon Ball Z Kakarot Ultimate Edition,2020,23.03,01/26/23 06:31:38,23.03,01/25/23 16:47:39,False,0.0
Dragon Ball Z Kakarot Deluxe Edition,2020,24.81,01/26/23 06:31:38,24.81,01/25/23 16:47:39,False,0.0
Dragon Ball The Breakers,2022,12.74,01/26/23 06:31:38,12.74,01/25/23 16:47:39,False,0.0
Dragon Ball Fighterz Fighterz Pass 2,2019,8.61,01/26/23 06:31:38,8.61,01/25/23 16:47:39,False,0.0
Dragon Ball Xenoverse 2 Extra Pass,2018,7.5,01/26/23 06:31:38,7.5,01/25/23 16:47:39,False,0.0
Dragon Ball Fighterz,2018,3.17,01/26/23 06:31:38,3.17,01/25/23 16:47:39,False,0.0
Dragon Ball Fighterz Fighterz Pass,2018,6.3,01/26/23 06:31:38,6.3,01/25/23 16:47:39,False,0.0
Dragon Ball Fighterz Ultimate Edition,2018,16.61,01/26/23 06:31:38,16.61,01/25/23 16:47:39,False,0.0
Dragon Ball Fighterz Fighterz Edition,2018,7.16,01/26/23 06:31:38,7.16,01/25/23 16:47:39,False,0.0
Dragon Ball Xenoverse 2,2016,2.68,01/26/23 06:31:38,2.68,01/25/23 16:47:39,False,0.0
Dragon Ball Xenoverse,2015,1.31,01/26/23 06:31:38,1.31,01/25/23 16:47:39,False,0.0
Dragon Ball The Breakers Special Edition,1970,26.56,01/26/23 06:31:38,26.56,01/25/23 16:47:39,False,0.0
Dragon Ball Xenoverse 2 Deluxe Edition,,90.19,01/26/23 06:31:38,90.19,01/25/23 16:47:39,False,0.0
Dragon Ball Xenoverse 2 Ultra Pack 1,,9.91,01/26/23 06:31:38,9.91,01/25/23 16:47:39,False,0.0
Dragon Ball Xenoverse Time Travel Edition,,11.39,01/26/23 06:31:38,11.39,01/25/23 16:47:39,False,0.0
Kid Ball Adventure,2022,2.53,01/26/23 06:31:38,2.53,01/25/23 16:47:39,False,0.0
Super Monkey Ball Banana Mania,2021,2.77,01/26/23 06:31:38,2.77,01/25/23 16:47:39,False,0.0
Super Monkey Ball Banana Mania Digital Deluxe Edition,2021,11.61,01/26/23 06:31:38,11.61,01/25/23 16:47:39,False,0.0
2K Ball N Brawl,2021,10.55,01/26/23 06:31:38,10.55,01/25/23 16:47:39,False,0.0
Team Sonic Racing Super Monkey Ball Banana Blitz Hd,2019,11.62,01/26/23 06:31:38,11.62,01/25/23 16:47:39,False,0.0
Super Monkey Ball Banana Blitz Hd,2019,8.8,01/26/23 06:31:38,8.8,01/25/23 16:47:39,False,0.0
Pig Eat Ball,2018,14.77,01/26/23 06:31:38,14.77,01/25/23 16:47:39,False,0.0
Ball Lab,2018,2.47,01/26/23 06:31:38,2.47,01/25/23 16:47:39,False,0.0
Boom Ball 3 For Kinect,2017,12.2,01/26/23 06:31:38,12.2,01/25/23 16:47:39,False,0.0
Kinect Bundle Boom Ball 2 Squid Hero,2017,3.11,01/26/23 06:31:38,3.11,01/25/23 16:47:39,False,0.0
Boom Ball 2 For Kinect,2016,12.2,01/26/23 06:31:38,12.2,01/25/23 16:47:39,False,0.0
Boom Ball For Kinect,2014,2.0,01/26/23 06:31:38,2.0,01/25/23 16:47:39,False,0.0
Super Dodge Ball,1989,4.23,01/26/23 06:31:38,4.23,01/25/23 16:47:39,False,0.0
Like A Dragon Ishin,2023,50.03,01/26/23 06:31:38,50.03,01/25/23 16:47:39,False,0.0
Dragon Prana,2022,4.89,01/26/23 06:31:38,4.89,01/25/23 16:47:39,False,0.0
Far Cry 3 Blood Dragon Classic Edition,2021,8.26,01/26/23 06:31:38,8.26,01/25/23 16:47:39,False,0.0
Tiny Tinas Assault On Dragon Keep A Wonderlands One Shot Adventure,2021,4.21,01/26/23 06:31:38,4.21,01/25/23 16:47:39,False,0.0
Yakuza Like A Dragon Hero Edition,2020,11.32,01/26/23 06:31:38,11.32,01/25/23 16:47:39,False,0.0
Yakuza Like A Dragon Legendary Hero Edition,2020,25.86,01/26/23 06:31:38,25.86,01/25/23 16:47:39,False,0.0
Yakuza Like A Dragon Day One Edition,2020,25.38,01/26/23 06:31:38,25.38,01/25/23 16:47:39,False,0.0
Liege Dragon,2020,5.32,01/26/23 06:31:38,5.32,01/25/23 16:47:39,False,0.0
Yakuza Like A Dragon,2020,14.3,01/26/23 06:31:38,14.3,01/25/23 16:47:39,False,0.0
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,19.3,01/26/23 06:31:38,19.3,01/25/23 16:47:39,False,0.0
Dragon Quest Builders 2,2018,11.76,01/26/23 06:31:38,11.76,01/25/23 16:47:39,False,0.0
Dragon Lapis,2017,7.35,01/26/23 06:31:38,7.35,01/25/23 16:47:39,False,0.0
Dragon Fang Z The Rose Dungeon Of Time,2017,22.89,01/26/23 06:31:38,22.89,01/25/23 16:47:39,False,0.0
