result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,8.81,01/31/23 15:23:56,8.84,01/31/23 07:44:05,True,-0.02999999999999936
Code Vein,2019,4.36,01/31/23 15:23:56,4.37,01/31/23 07:44:05,True,-0.009999999999999787
Code Shifter,2020,2.1,01/31/23 15:23:56,2.1,01/31/23 07:44:05,False,0.0
Dragon Ball Z Kakarot A New Power Awakens Set,2020,9.33,01/31/23 15:23:58,9.38,01/31/23 07:44:07,True,-0.05000000000000071
Dragon Ball Z Kakarot,2020,11.71,01/31/23 15:23:58,11.76,01/31/23 07:44:07,True,-0.049999999999998934
Dragon Ball Z Kakarot Deluxe Edition,2020,24.73,01/31/23 15:23:58,24.83,01/31/23 07:44:07,True,-0.09999999999999787
Dragon Ball Z Kakarot Ultimate Edition,2020,42.09,01/31/23 15:23:58,42.27,01/31/23 07:44:07,True,-0.17999999999999972
Dragon Ball The Breakers,2022,12.7,01/31/23 15:23:58,12.75,01/31/23 07:44:07,True,-0.05000000000000071
Dragon Ball Fighterz Gogeta Ss4,2021,3.18,01/31/23 15:23:58,3.22,01/31/23 07:44:07,True,-0.040000000000000036
Dragon Ball Fighterz Fighterz Pass 2,2019,5.82,01/31/23 15:23:58,5.85,01/31/23 07:44:07,True,-0.02999999999999936
Dragon Ball Xenoverse 2 Extra Pass,2018,7.48,01/31/23 15:23:58,7.51,01/31/23 07:44:07,True,-0.02999999999999936
Dragon Ball Fighterz Broly,2018,3.23,01/31/23 15:23:58,3.23,01/31/23 07:44:07,False,0.0
Dragon Ball Fighterz,2018,4.2,01/31/23 15:23:58,4.22,01/31/23 07:44:07,True,-0.019999999999999574
Dragon Ball Fighterz Fighterz Pass,2018,8.25,01/31/23 15:23:58,8.28,01/31/23 07:44:07,True,-0.02999999999999936
Dragon Ball Fighterz Ultimate Edition,2018,16.19,01/31/23 15:23:58,16.25,01/31/23 07:44:07,True,-0.05999999999999872
Dragon Ball Fighterz Fighterz Edition,2018,6.98,01/31/23 15:23:58,7.01,01/31/23 07:44:07,True,-0.02999999999999936
Dragon Ball Xenoverse 2,2016,4.46,01/31/23 15:23:58,4.48,01/31/23 07:44:07,True,-0.020000000000000462
Dragon Ball Xenoverse,2015,1.29,01/31/23 15:23:58,1.29,01/31/23 07:44:07,False,0.0
Dragon Ball The Breakers Special Edition,1970,26.47,01/31/23 15:23:58,26.58,01/31/23 07:44:07,True,-0.10999999999999943
Dragon Ball Xenoverse 2 Deluxe Edition,,90.24,01/31/23 15:23:58,90.24,01/31/23 07:44:07,False,0.0
Dragon Ball Xenoverse 2 Ultra Pack 1,,9.89,01/31/23 15:23:58,9.89,01/31/23 07:44:07,False,0.0
Dragon Ball Xenoverse Time Travel Edition,,11.37,01/31/23 15:23:58,11.37,01/31/23 07:44:07,False,0.0
Kid Ball Adventure,1970,0.59,01/31/23 15:23:58,0.59,01/31/23 07:44:07,False,0.0
Super Monkey Ball Banana Mania,2022,2.7,01/31/23 15:23:58,2.71,01/31/23 07:44:07,True,-0.009999999999999787
Super Monkey Ball Banana Mania Digital Deluxe Edition,2021,13.15,01/31/23 15:23:58,13.21,01/31/23 07:44:07,True,-0.0600000000000005
2K Ball N Brawl,2021,10.51,01/31/23 15:23:58,10.56,01/31/23 07:44:07,True,-0.05000000000000071
Team Sonic Racing Super Monkey Ball Banana Blitz Hd,2021,26.32,01/31/23 15:23:58,26.42,01/31/23 07:44:07,True,-0.10000000000000142
Super Monkey Ball Banana Blitz Hd,2019,8.42,01/31/23 15:23:58,8.46,01/31/23 07:44:07,True,-0.040000000000000924
Pig Eat Ball,2019,14.72,01/31/23 15:23:58,14.78,01/31/23 07:44:07,True,-0.05999999999999872
Ball Lab,2018,2.46,01/31/23 15:23:58,2.47,01/31/23 07:44:07,True,-0.010000000000000231
Boom Ball 3 For Kinect,2018,9.72,01/31/23 15:23:58,9.73,01/31/23 07:44:07,True,-0.009999999999999787
