result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Code Vein Deluxe Edition,2019,3.97,04/13/23 06:59:45,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.97,04/12/23 17:14:55,False,0.0
Code Vein,2019,3.14,04/13/23 06:59:45,https://cdkeyprices.com/search?sk=CODE+VEIN&categories=&platforms=all_xbox&types=game&filter=1,3.13,04/12/23 17:14:55,False,0.01
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,11.91,04/13/23 06:59:46,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,11.84,04/12/23 17:14:56,False,0.07
Assassins Creed Valhalla Complete Edition,2019,25.38,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,25.37,04/12/23 17:14:58,False,0.01
Assassins Creed Valhalla Dawn Of Ragnarok,2022,6.83,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,6.79,04/12/23 17:14:58,False,0.04
Assassins Creed Valhalla Ragnarok Edition,2022,14.39,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,14.29,04/12/23 17:14:58,False,0.1
Assassins Creed Valhalla Deluxe Edition,2022,11.2,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,11.13,04/12/23 17:14:58,False,0.07
Assassins Creed Valhalla The Siege Of Paris,2021,20.75,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,20.43,04/12/23 17:14:58,False,0.32
Assassins Creed Valhalla Wrath Of The Druids,2021,20.75,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,20.43,04/12/23 17:14:58,False,0.32
Assassins Creed Valhalla Gold Edition,2021,79.44,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,79.4,04/12/23 17:14:58,False,0.04
Assassins Creed Valhalla Ultimate Edition,2020,48.0,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.68,04/12/23 17:14:58,False,0.32
Assassins Creed Valhalla The Way Of The Berserker,2020,1.59,04/13/23 06:59:47,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,1.58,04/12/23 17:14:58,False,0.01
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2019,13.55,04/13/23 06:59:53,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,13.46,04/12/23 17:15:05,False,0.09
Azure Striker Gunvolt 3,2020,3.32,04/13/23 06:59:48,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,3.33,04/12/23 17:14:58,True,-0.01
Azure Striker Gunvolt 2,2022,2.17,04/13/23 06:59:48,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.17,04/12/23 17:14:58,False,0.0
Azure Striker Gunvolt,2016,2.03,04/13/23 06:59:48,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,2.02,04/12/23 17:14:58,False,0.01
Batman Arkham Collection,2014,6.69,04/13/23 06:59:49,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,6.64,04/12/23 17:14:59,False,0.05
Bayonetta Vanquish 10Th Anniversary Bundle,2018,5.31,04/13/23 06:59:49,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,5.26,04/12/23 17:15:01,False,0.05
Bayonetta,2020,4.16,04/13/23 06:59:49,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,4.13,04/12/23 17:15:01,False,0.03
Forza Horizon 4 Hot Wheels Legends Car Pack,2009,8.25,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,8.21,04/12/23 17:15:02,False,0.04
Forza Horizon 4 Barrett Jackson Car Pack,2021,2.66,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,2.64,04/12/23 17:15:02,False,0.02
Forza Horizon 4 Lego Speed Champions,2019,6.78,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,6.73,04/12/23 17:15:02,False,0.05
Forza Horizon 4 Ultimate Edition,2019,17.04,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,16.92,04/12/23 17:15:02,False,0.12
Forza Horizon 4,2018,10.19,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,10.12,04/12/23 17:15:02,False,0.07
Forza Horizon 4 Fortune Island,2018,8.41,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,8.35,04/12/23 17:15:02,False,0.06
Forza Horizon 4 Deluxe Edition,2018,19.48,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,19.36,04/12/23 17:15:02,False,0.12
Forza Horizon 4 Expansions Bundle,2018,22.7,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,22.36,04/12/23 17:15:02,False,0.34
Forza Horizon 4 Icons Car Pack,2018,8.0,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,7.94,04/12/23 17:15:02,False,0.06
Forza Horizon 4 Vip,,13.82,04/13/23 06:59:50,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,13.77,04/12/23 17:15:02,False,0.05
Forza Horizon 5 Rally Adventure,,17.06,04/13/23 06:59:51,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,16.95,04/12/23 17:15:03,False,0.11
Forza Horizon 5 Hot Wheels,2023,11.39,04/13/23 06:59:51,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,11.21,04/12/23 17:15:03,False,0.18
Forza Horizon 5 Expansions Bundle,2022,28.24,04/13/23 06:59:51,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,28.25,04/12/23 17:15:03,True,-0.01
Forza Horizon 5,2022,4.7,04/13/23 06:59:51,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,4.67,04/12/23 17:15:03,False,0.03
Forza Horizon 5 Deluxe Edition,2021,28.97,04/13/23 06:59:51,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,28.52,04/12/23 17:15:03,False,0.45
Forza Horizon 5 Premium Edition,2021,22.49,04/13/23 06:59:51,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,22.15,04/12/23 17:15:03,False,0.34
Gunvolt Chronicles Luminous Avenger Ix 2,2021,14.75,04/13/23 06:59:52,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,14.72,04/12/23 17:15:04,False,0.03
Gunvolt Chronicles Luminous Avenger Ix,2022,8.29,04/13/23 06:59:52,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,8.27,04/12/23 17:15:04,False,0.02
Immortals Fenyx Rising Gold Edition,2020,8.53,04/13/23 06:59:53,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,8.47,04/12/23 17:15:05,False,0.06
Lost Judgment,2020,10.67,04/13/23 06:59:53,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,10.6,04/12/23 17:15:07,False,0.07
Lost Judgment Digital Ultimate Edition,2021,14.31,04/13/23 06:59:53,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,14.26,04/12/23 17:15:07,False,0.05
Lost Judgment Digital Deluxe Edition,2021,16.01,04/13/23 06:59:53,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,15.92,04/12/23 17:15:07,False,0.09
Judgment,2021,6.94,04/13/23 06:59:53,https://cdkeyprices.com/search?sk=Judgment&categories=&platforms=all_xbox&types=game&filter=1,7.26,04/12/23 17:15:07,True,-0.32
