result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,is_cheaper,difference,last_week_price_usd,last_week_captured_timestamp,is_cheaper_last_week,difference_last_week
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,37.88,04/25/23 09:33:38,False,0.03,11.75,04/20/23 15:59:51,False,26.13
Assassins Creed Valhalla Complete Edition,2017,49.0,04/25/23 09:33:40,False,0.25,27.82,04/20/23 15:59:52,False,21.18
Assassins Creed Valhalla Dawn Of Ragnarok,2022,12.82,04/25/23 09:33:40,False,0.07,6.8,04/20/23 15:59:52,False,6.02
Assassins Creed Valhalla Ragnarok Edition,2022,21.78,04/25/23 09:33:40,True,-0.01,14.33,04/20/23 15:59:52,False,7.45
Assassins Creed Valhalla Deluxe Edition,2022,28.97,04/25/23 09:33:40,True,-3.16,10.8,04/20/23 15:59:52,False,18.17
Assassins Creed Valhalla Ultimate Edition,2021,48.21,04/25/23 09:33:40,False,0.25,47.8,04/20/23 15:59:52,False,0.41
Assassins Creed Valhalla Gold Edition,2021,64.09,04/25/23 09:33:40,False,21.11,42.84,04/20/23 15:59:52,False,21.25
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2018,32.19,04/25/23 09:33:47,False,0.17,12.89,04/20/23 15:59:58,False,19.3
Azure Striker Gunvolt 3,2021,19.87,04/25/23 09:33:41,False,0.1,3.33,04/20/23 15:59:53,False,16.54
Azure Striker Gunvolt 2,2020,14.9,04/25/23 09:33:41,False,0.08,2.18,04/20/23 15:59:53,False,12.72
Batman Arkham Collection,2020,22.44,04/25/23 09:33:42,False,13.16,4.05,04/20/23 15:59:54,False,18.39
Bayonetta,2020,9.37,04/25/23 09:33:44,False,0.06,3.64,04/20/23 15:59:54,False,5.73
Bayonetta Vanquish 10Th Anniversary Bundle,2022,16.89,04/25/23 09:33:44,True,-22.87,4.23,04/20/23 15:59:54,False,12.66
