result_name,release_yr,latest_captured_price_usd,latest_captured_timestamp,url,previous_price_usd,previous_captured_timestamp,is_cheaper,difference
Dragon Quest Xi S Echoes Of An Elusive Age Definitive Edition,2019,37.88,04/25/23 09:33:38,https://cdkeyprices.com/search?sk=Dragon+Quest+Xi+S&categories=&platforms=all_xbox&types=game&filter=1,37.85,04/24/23 15:15:43,False,0.03
Assassins Creed Valhalla Complete Edition,2017,49.0,04/25/23 09:33:40,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,48.75,04/24/23 15:15:45,False,0.25
Assassins Creed Valhalla Dawn Of Ragnarok,2022,12.82,04/25/23 09:33:40,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,12.75,04/24/23 15:15:45,False,0.07
Assassins Creed Valhalla Ragnarok Edition,2022,21.78,04/25/23 09:33:40,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,21.79,04/24/23 15:15:45,True,-0.01
Assassins Creed Valhalla Deluxe Edition,2022,28.97,04/25/23 09:33:40,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,32.13,04/24/23 15:15:45,True,-3.16
Assassins Creed Valhalla Ultimate Edition,2021,48.21,04/25/23 09:33:40,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,47.96,04/24/23 15:15:45,False,0.25
Assassins Creed Valhalla Gold Edition,2021,64.09,04/25/23 09:33:40,https://cdkeyprices.com/search?sk=Assassins+Creed+Valhalla&categories=&platforms=all_xbox&types=game&filter=1,42.98,04/24/23 15:15:45,False,21.11
Assassins Creed Valhalla Immortals Fenyx Rising Bundle,2018,32.19,04/25/23 09:33:47,https://cdkeyprices.com/search?sk=Immortals+Fenyx+Rising&categories=&platforms=all_xbox&types=game&filter=1,32.02,04/24/23 15:15:54,False,0.17
Azure Striker Gunvolt 3,2021,19.87,04/25/23 09:33:41,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,19.77,04/24/23 15:15:47,False,0.1
Azure Striker Gunvolt 2,2020,14.9,04/25/23 09:33:41,https://cdkeyprices.com/search?sk=Azure+Striker+GUNVOLT&categories=&platforms=all_xbox&types=game&filter=1,14.82,04/24/23 15:15:47,False,0.08
Batman Arkham Collection,2020,22.44,04/25/23 09:33:42,https://cdkeyprices.com/search?sk=Batman:+Arkham+Collection&categories=&platforms=all_xbox&types=game&filter=1,9.28,04/24/23 15:15:48,False,13.16
Bayonetta,2020,9.37,04/25/23 09:33:44,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,9.31,04/24/23 15:15:49,False,0.06
Bayonetta Vanquish 10Th Anniversary Bundle,2022,16.89,04/25/23 09:33:44,https://cdkeyprices.com/search?sk=Bayonetta&categories=&platforms=all_xbox&types=game&filter=1,39.76,04/24/23 15:15:49,True,-22.87
Forza Horizon 4 Hot Wheels Legends Car Pack,2016,13.87,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,13.79,04/24/23 15:15:51,False,0.08
Forza Horizon 4 Lego Speed Champions,2016,6.81,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,6.78,04/24/23 15:15:51,False,0.03
Forza Horizon 4 Ultimate Edition,2014,19.98,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,19.88,04/24/23 15:15:51,False,0.1
Forza Horizon 4,2018,24.22,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,10.18,04/24/23 15:15:51,False,14.04
Forza Horizon 4 Best Of Bond Car Pack,2023,9.3,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,9.29,04/24/23 15:15:51,False,0.01
Forza Horizon 4 Expansions Bundle,2022,35.65,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,35.61,04/24/23 15:15:51,False,0.04
Forza Horizon 4 Deluxe Edition,2020,25.18,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,25.06,04/24/23 15:15:51,False,0.12
Forza Horizon 4 Fortune Island,2020,8.44,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,8.4,04/24/23 15:15:51,False,0.04
Forza Horizon 4 Icons Car Pack,2014,28.17,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,11.49,04/24/23 15:15:51,False,16.68
Forza Horizon 4 Vip,2021,22.17,04/25/23 09:33:45,https://cdkeyprices.com/search?sk=Forza+Horizon+4&categories=&platforms=all_xbox&types=game&filter=1,18.14,04/24/23 15:15:51,False,4.03
Forza Horizon 5 Rally Adventure,2019,17.13,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,17.04,04/24/23 15:15:53,False,0.09
Forza Horizon 5 Hot Wheels,2019,16.61,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,16.52,04/24/23 15:15:53,False,0.09
Forza Horizon 5 Expansions Bundle,2018,28.24,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,28.22,04/24/23 15:15:53,False,0.02
Forza Horizon 5,2018,23.18,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,4.7,04/24/23 15:15:53,False,18.48
Forza Horizon 5 Premium Edition,2018,38.96,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,38.92,04/24/23 15:15:53,False,0.04
Forza Horizon 5 Deluxe Edition,2018,42.74,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Forza+Horizon+5&categories=&platforms=all_xbox&types=game&filter=1,51.69,04/24/23 15:15:53,True,-8.95
Gunvolt Chronicles Luminous Avenger Ix 2,2018,14.82,04/25/23 09:33:46,https://cdkeyprices.com/search?sk=Gunvolt+Chronicles&categories=&platforms=all_xbox&types=game&filter=1,14.82,04/24/23 15:15:53,False,0.0
